"Title","IssueID","IssueType","Description","PhotoUrl","Latitude","Longitude","LocationAddress","County","City","Agency","ReportedBy","ReportedDate","AIAnalysis","AIDetectedConditions","Severity","RecommendedPriority","RecommendedAction","AIConfidence","Status","AssignedTo","ApprovedBy","ApprovalDate","ResolvedDate","ResolutionNotes","EstimatedCost","AssetID","DuplicateOf"
"Road Sign report 041","FI-00041","Road Sign","Field report 41 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-41.jpg","45.517300","-122.680800","141 SW Demo Ave, Metro City","North County","Metro City","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-08T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Public Works crew to inspect, secure area, and complete repair.","86","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-01-08T16:00:00","2026-01-14T10:00:00","Repair completed and verified.","5867","SIGN-001",""
"Water Leak report 042","FI-00042","Water Leak","Field report 42 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-42.jpg","45.527100","-122.994600","142 SW Demo Ave, Hillview","West County","Hillview","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-11T11:00:00","AI detected water damage; missing hardware and recommends P1 handling.","water damage; missing hardware","Critical","P1","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","87","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-01-11T17:00:00","2026-01-18T11:00:00","Repair completed and verified.","6004","WTR-002",""
"Park Maintenance report 043","FI-00043","Park Maintenance","Field report 43 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-43.jpg","45.363600","-122.614000","143 SW Demo Ave, Riverton","South County","Riverton","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-14T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","88","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-01-14T18:00:00","","","6141","PARK-003",""
"Building Inspection report 044","FI-00044","Building Inspection","Field report 44 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-44.jpg","44.951300","-123.044700","144 SW Demo Ave, Capital City","Central County","Capital City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-17T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","89","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-01-17T19:00:00","","","6278","BLDG-004",""
"Road Sign report 045","FI-00045","Road Sign","Field report 45 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-45.jpg","44.060500","-123.089200","145 SW Demo Ave, Lakeside","River County","Lakeside","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-20T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","90","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","6415","SIGN-011",""
"Road Sign report 046","FI-00046","Road Sign","Field report 46 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-46.jpg","44.070800","-121.317700","146 SW Demo Ave, Summit","Mountain County","Summit","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-23T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Public Works crew to inspect, secure area, and complete repair.","91","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-01-23T21:00:00","","","6552","SIGN-006",""
"Water Leak report 047","FI-00047","Water Leak","Field report 47 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-47.jpg","45.515200","-122.683200","147 SW Demo Ave, Metro City","North County","Metro City","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-26T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","92","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-01-26T22:00:00","2026-01-29T16:00:00","Repair completed and verified.","6689","WTR-007",""
"Park Maintenance report 048","FI-00048","Park Maintenance","Field report 48 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-48.jpg","45.525000","-122.997000","148 SW Demo Ave, Hillview","West County","Hillview","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-01-29T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","93","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","6826","PARK-008",""
"Building Inspection report 049","FI-00049","Building Inspection","Field report 49 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-49.jpg","45.361500","-122.616400","149 SW Demo Ave, Riverton","South County","Riverton","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-01T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","94","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-02-01T16:00:00","2026-02-06T10:00:00","Repair completed and verified.","6963","BLDG-009",""
"Facilities report 050","FI-00050","Road Sign","Field report 50 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-50.jpg","45.517300","-122.680800","SIGN-001 recurring Metro City corridor, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-04T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","70","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-02-04T17:00:00","2026-02-10T11:00:00","Repair completed and verified.","7100","SIGN-001",""
"Road Sign report 051","FI-00051","Road Sign","Field report 51 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-51.jpg","44.060500","-123.089200","151 SW Demo Ave, Lakeside","River County","Lakeside","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-07T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch Public Works crew to inspect, secure area, and complete repair.","71","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-02-07T18:00:00","","","7237","SIGN-011",""
"Water Leak report 052","FI-00052","Water Leak","Field report 52 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-52.jpg","44.068700","-121.320100","152 SW Demo Ave, Summit","Mountain County","Summit","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-10T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","72","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-02-10T19:00:00","","","7374","WTR-012",""
"Park Maintenance report 053","FI-00053","Park Maintenance","Field report 53 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-53.jpg","45.527800","-122.685600","153 SW Demo Ave, Metro City","North County","Metro City","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-13T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","73","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","7511","PARK-013",""
"Building Inspection report 054","FI-00054","Building Inspection","Field report 54 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-54.jpg","45.522900","-122.999400","154 SW Demo Ave, Hillview","West County","Hillview","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-16T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","74","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-02-16T21:00:00","","","7648","BLDG-014",""
"Park Maintenance report 055","FI-00055","Park Maintenance","Field report 55 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-55.jpg","45.516800","-122.676900","155 SW Demo Ave, Metro City","North County","Metro City","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-19T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","75","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-02-19T22:00:00","2026-02-21T16:00:00","Repair completed and verified.","7785","PARK-013","FI-00020"
"Road Sign report 056","FI-00056","Road Sign","Field report 56 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-56.jpg","44.947100","-123.037500","156 SW Demo Ave, Capital City","Central County","Capital City","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-22T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Public Works crew to inspect, secure area, and complete repair.","76","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","7922","SIGN-016",""
"Water Leak report 057","FI-00057","Water Leak","Field report 57 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-57.jpg","44.058400","-123.091600","157 SW Demo Ave, Lakeside","River County","Lakeside","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-25T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","77","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-02-25T16:00:00","2026-03-01T10:00:00","Repair completed and verified.","8059","WTR-017",""
"Park Maintenance report 058","FI-00058","Park Maintenance","Field report 58 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-58.jpg","44.066600","-121.322500","158 SW Demo Ave, Summit","Mountain County","Summit","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-02-28T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","78","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-02-28T17:00:00","2026-03-05T11:00:00","Repair completed and verified.","8196","PARK-018",""
"Building Inspection report 059","FI-00059","Building Inspection","Field report 59 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-59.jpg","45.525700","-122.688000","159 SW Demo Ave, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-03T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","79","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-03-03T18:00:00","","","8333","BLDG-019",""
"Water Leak report 060","FI-00060","Water Leak","Field report 60 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-60.jpg","45.519900","-122.681500","160 SW Demo Ave, Metro City","North County","Metro City","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-06T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","80","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-03-06T19:00:00","","","8470","WTR-007","FI-00030"
"Road Sign report 061","FI-00061","Road Sign","Field report 61 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-61.jpg","45.357300","-122.609200","161 SW Demo Ave, Riverton","South County","Riverton","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-09T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Public Works crew to inspect, secure area, and complete repair.","81","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","8607","SIGN-021",""
"Water Leak report 062","FI-00062","Water Leak","Field report 62 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-62.jpg","44.945000","-123.039900","162 SW Demo Ave, Capital City","Central County","Capital City","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-12T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","82","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-03-12T21:00:00","","","8744","WTR-022",""
"Park Maintenance report 063","FI-00063","Park Maintenance","Field report 63 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-63.jpg","44.056300","-123.094000","163 SW Demo Ave, Lakeside","River County","Lakeside","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-15T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","83","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-03-15T22:00:00","2026-03-16T16:00:00","Repair completed and verified.","8881","PARK-023",""
"Building Inspection report 064","FI-00064","Building Inspection","Field report 64 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-64.jpg","44.064500","-121.324900","164 SW Demo Ave, Summit","Mountain County","Summit","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-18T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","84","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","9018","BLDG-024",""
"Facilities report 065","FI-00065","Facilities","Field report 65 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-65.jpg","45.523600","-122.678400","165 SW Demo Ave, Metro City","North County","Metro City","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-21T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","85","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-03-21T16:00:00","2026-03-24T10:00:00","Repair completed and verified.","9155","FAC-025",""
"Road Sign report 066","FI-00066","Road Sign","Field report 66 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-66.jpg","45.533400","-122.992200","166 SW Demo Ave, Hillview","West County","Hillview","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-24T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch Public Works crew to inspect, secure area, and complete repair.","86","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-03-24T17:00:00","2026-03-28T11:00:00","Repair completed and verified.","9292","SIGN-026",""
"Water Leak report 067","FI-00067","Water Leak","Field report 67 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-67.jpg","45.369900","-122.611600","167 SW Demo Ave, Riverton","South County","Riverton","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-27T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","87","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-03-27T18:00:00","","","9429","WTR-027",""
"Park Maintenance report 068","FI-00068","Park Maintenance","Field report 68 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-68.jpg","44.942900","-123.042300","168 SW Demo Ave, Capital City","Central County","Capital City","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-03-30T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","88","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-03-30T19:00:00","","","9566","PARK-028",""
"Building Inspection report 069","FI-00069","Building Inspection","Field report 69 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-69.jpg","44.054200","-123.096400","169 SW Demo Ave, Lakeside","River County","Lakeside","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-02T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","89","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","9703","BLDG-029",""
"Road Sign report 070","FI-00070","Road Sign","Field report 70 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-70.jpg","45.357300","-122.609200","170 SW Demo Ave, Riverton","South County","Riverton","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-05T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","90","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-04-05T21:00:00","","","340","SIGN-021",""
"Road Sign report 071","FI-00071","Road Sign","Field report 71 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-71.jpg","45.521500","-122.680800","171 SW Demo Ave, Metro City","North County","Metro City","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-08T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Public Works crew to inspect, secure area, and complete repair.","91","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-04-08T22:00:00","2026-04-17T16:00:00","Repair completed and verified.","477","SIGN-031",""
"Water Leak report 072","FI-00072","Water Leak","Field report 72 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-72.jpg","45.531300","-122.994600","172 SW Demo Ave, Hillview","West County","Hillview","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-11T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","92","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","614","WTR-032",""
"Park Maintenance report 073","FI-00073","Park Maintenance","Field report 73 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-73.jpg","45.367800","-122.614000","173 SW Demo Ave, Riverton","South County","Riverton","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-14T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","93","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-04-14T16:00:00","2026-04-16T10:00:00","Repair completed and verified.","751","PARK-033",""
"Building Inspection report 074","FI-00074","Building Inspection","Field report 74 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-74.jpg","44.955500","-123.044700","174 SW Demo Ave, Capital City","Central County","Capital City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-17T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","94","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-04-17T17:00:00","2026-04-20T11:00:00","Repair completed and verified.","888","BLDG-034",""
"Road Sign report 075","FI-00075","Road Sign","Field report 75 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-75.jpg","44.060500","-123.089200","175 SW Demo Ave, Lakeside","River County","Lakeside","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-20T12:00:00","AI detected structural damage; trip hazard and recommends P2 handling.","structural damage; trip hazard","High","P2","Dispatch ODOT crew to inspect, secure area, and complete repair.","70","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-04-20T18:00:00","","","1025","SIGN-011",""
"Road Sign report 076","FI-00076","Road Sign","Field report 76 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-76.jpg","44.060300","-121.317700","176 SW Demo Ave, Summit","Mountain County","Summit","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-23T13:00:00","AI detected standing water; corrosion and recommends P3 handling.","standing water; corrosion","Medium","P3","Dispatch Public Works crew to inspect, secure area, and complete repair.","71","Approved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-04-23T19:00:00","","","1162","SIGN-036",""
"Water Leak report 077","FI-00077","Water Leak","Field report 77 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-77.jpg","45.519400","-122.683200","177 SW Demo Ave, Metro City","North County","Metro City","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-26T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","72","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","1299","WTR-037",""
"Park Maintenance report 078","FI-00078","Park Maintenance","Field report 78 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-78.jpg","45.529200","-122.997000","178 SW Demo Ave, Hillview","West County","Hillview","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-04-29T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","73","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-04-29T21:00:00","","","1436","PARK-038",""
"Building Inspection report 079","FI-00079","Building Inspection","Field report 79 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-79.jpg","45.365700","-122.616400","179 SW Demo Ave, Riverton","South County","Riverton","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-02T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch ODOT crew to inspect, secure area, and complete repair.","74","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2026-05-02T22:00:00","2026-05-10T16:00:00","Repair completed and verified.","1573","BLDG-039",""
"Facilities report 080","FI-00080","Road Sign","Field report 80 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-80.jpg","45.517300","-122.680800","SIGN-001 recurring Metro City corridor, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2026-05-05T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","75","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","1710","SIGN-001",""
